candidate_id,tsa_id,tsa_section,tsa_text,target_corpus,target_id,target_text,rank,cosine_similarity,tentative_alignment_type
CAND-00001,TSA-001,2,Develop a corporate security plan as described in Section 3,CSF2.0,RS.MA-01,The incident response plan is executed in coordination with relevant third parties once an incident is declared,1,0.0498,No Match
CAND-00002,TSA-001,2,Develop a corporate security plan as described in Section 3,CSF2.0,RC.RP-01,The recovery portion of the incident response plan is executed once initiated from the incident response process,2,0.0443,No Match
CAND-00003,TSA-001,2,Develop a corporate security plan as described in Section 3,CSF2.0,ID.IM-02,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",3,0.0215,No Match
CAND-00004,TSA-002,2,"Ensure sufficient resources, to include trained staff and equipment",CSF2.0,DE.AE-06,Information on adverse events is provided to authorized staff and tools,1,0.0727,No Match
CAND-00005,TSA-002,2,"Ensure sufficient resources, to include trained staff and equipment",CSF2.0,GV.RR-04,Cybersecurity is included in human resources practices,2,0.0726,No Match
CAND-00006,TSA-002,2,"Ensure sufficient resources, to include trained staff and equipment",CSF2.0,ID.AM-05,"Assets are prioritized based on classification, criticality, resources, and impact on the mission",3,0.0559,No Match
CAND-00007,TSA-003,2,Ensure identified security deficiencies have appropriate financial resources allocated,CSF2.0,GV.RR-03,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies",1,0.1818,Partial
CAND-00008,TSA-003,2,Ensure identified security deficiencies have appropriate financial resources allocated,CSF2.0,ID.IM-02,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",2,0.1248,Related
CAND-00009,TSA-003,2,Ensure identified security deficiencies have appropriate financial resources allocated,CSF2.0,ID.IM-01,Improvements are identified from evaluations,3,0.0777,No Match
CAND-00010,TSA-004,2,Assign a qualified primary and alternate staff member to manage the corporate security program,CSF2.0,DE.AE-06,Information on adverse events is provided to authorized staff and tools,1,0.0603,No Match
CAND-00011,TSA-004,2,Assign a qualified primary and alternate staff member to manage the corporate security program,CSF2.0,GV.SC-01,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders",2,0.0401,No Match
CAND-00012,TSA-004,2,Assign a qualified primary and alternate staff member to manage the corporate security program,CSF2.0,ID.IM-02,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties",3,0.0154,No Match
CAND-00013,TSA-005,2,"Develop and maintain a cyber/SCADA security plan, or incorporate measures in corporate plan",CSF2.0,RS.MA-01,The incident response plan is executed in coordination with relevant third parties once an incident is declared,1,0.0746,No Match
CAND-00014,TSA-005,2,"Develop and maintain a cyber/SCADA security plan, or incorporate measures in corporate plan",CSF2.0,RC.RP-01,The recovery portion of the incident response plan is executed once initiated from the incident response process,2,0.0663,No Match
CAND-00015,TSA-005,2,"Develop and maintain a cyber/SCADA security plan, or incorporate measures in corporate plan",CSF2.0,PR.AA-05,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties",3,0.0454,No Match
