id,subcat_id,category,function,text
CSF-001,GV.OC-01,Organizational Context,GOVERN,The organizational mission is understood and informs cybersecurity risk management
CSF-002,GV.OC-02,Organizational Context,GOVERN,"Internal and external stakeholders are understood, and their needs and expectations regarding cybersecurity risk management are understood and considered"
CSF-003,GV.OC-03,Organizational Context,GOVERN,"Legal, regulatory, and contractual requirements regarding cybersecurity, including privacy and civil liberties obligations, are understood and managed"
CSF-004,GV.OC-04,Organizational Context,GOVERN,"Critical objectives, capabilities, and services that external stakeholders depend on or expect from the organization are understood and communicated"
CSF-005,GV.OC-05,Organizational Context,GOVERN,"Outcomes, capabilities, and services that the organization depends on are understood and communicated"
CSF-006,GV.RM-01,Risk Management Strategy,GOVERN,Risk management objectives are established and agreed to by organizational stakeholders
CSF-007,GV.RM-02,Risk Management Strategy,GOVERN,"Risk appetite and risk tolerance statements are established, communicated, and maintained"
CSF-008,GV.RM-03,Risk Management Strategy,GOVERN,Cybersecurity risk management activities and outcomes are included in enterprise risk management processes
CSF-009,GV.RM-04,Risk Management Strategy,GOVERN,Strategic direction that describes appropriate risk response options is established and communicated
CSF-010,GV.RM-05,Risk Management Strategy,GOVERN,"Lines of communication across the organization are established for cybersecurity risks, including risks from suppliers and other third parties"
CSF-011,GV.RM-06,Risk Management Strategy,GOVERN,"A standardized method for calculating, documenting, categorizing, and prioritizing cybersecurity risks is established and communicated"
CSF-012,GV.RM-07,Risk Management Strategy,GOVERN,"Strategic opportunities (i.e., positive risks) are characterized and are included in organizational cybersecurity risk discussions"
CSF-013,GV.RR-01,"Roles, Responsibilities, and Authorities",GOVERN,"Organizational leadership is responsible and accountable for cybersecurity risk and fosters a culture that is risk-aware, ethical, and continually improving"
CSF-014,GV.RR-02,"Roles, Responsibilities, and Authorities",GOVERN,"Roles, responsibilities, and authorities related to cybersecurity risk management are established, communicated, understood, and enforced"
CSF-015,GV.RR-03,"Roles, Responsibilities, and Authorities",GOVERN,"Adequate resources are allocated commensurate with the cybersecurity risk strategy, roles, responsibilities, and policies"
CSF-016,GV.RR-04,"Roles, Responsibilities, and Authorities",GOVERN,Cybersecurity is included in human resources practices
CSF-017,GV.PO-01,Policy,GOVERN,"Policy for managing cybersecurity risks is established based on organizational context, cybersecurity strategy, and priorities and is communicated and enforced"
CSF-018,GV.PO-02,Policy,GOVERN,"Policy for managing cybersecurity risks is reviewed, updated, communicated, and enforced to reflect changes in requirements, threats, technology, and organizational mission"
CSF-019,GV.OV-01,Oversight,GOVERN,Cybersecurity risk management strategy outcomes are reviewed to inform and adjust strategy and direction
CSF-020,GV.OV-02,Oversight,GOVERN,The cybersecurity risk management strategy is reviewed and adjusted to ensure coverage of organizational requirements and risks
CSF-021,GV.OV-03,Oversight,GOVERN,Organizational cybersecurity risk management performance is evaluated and reviewed for adjustments needed
CSF-022,GV.SC-01,Cybersecurity Supply Chain Risk Management,GOVERN,"A cybersecurity supply chain risk management program, strategy, objectives, policies, and processes are established and agreed to by organizational stakeholders"
CSF-023,GV.SC-02,Cybersecurity Supply Chain Risk Management,GOVERN,"Cybersecurity roles and responsibilities for suppliers, customers, and partners are established, communicated, and coordinated internally and externally"
CSF-024,GV.SC-03,Cybersecurity Supply Chain Risk Management,GOVERN,"Cybersecurity supply chain risk management is integrated into cybersecurity and enterprise risk management, risk assessment, and improvement processes"
CSF-025,GV.SC-04,Cybersecurity Supply Chain Risk Management,GOVERN,Suppliers are known and prioritized by criticality
CSF-026,GV.SC-05,Cybersecurity Supply Chain Risk Management,GOVERN,"Requirements to address cybersecurity risks in supply chains are established, prioritized, and integrated into contracts and other types of agreements with suppliers and other relevant third parties"
CSF-027,GV.SC-06,Cybersecurity Supply Chain Risk Management,GOVERN,Planning and due diligence are performed to reduce risks before entering into formal supplier or other third-party relationships
CSF-028,GV.SC-07,Cybersecurity Supply Chain Risk Management,GOVERN,"The risks posed by a supplier, their products and services, and other third parties are understood, recorded, prioritized, assessed, responded to, and monitored over the course of the relationship"
CSF-029,GV.SC-08,Cybersecurity Supply Chain Risk Management,GOVERN,"Relevant suppliers and other third parties are included in incident planning, response, and recovery activities"
CSF-030,GV.SC-09,Cybersecurity Supply Chain Risk Management,GOVERN,"Supply chain security practices are integrated into cybersecurity and enterprise risk management programs, and their performance is monitored throughout the technology product and service life cycle"
CSF-031,GV.SC-10,Cybersecurity Supply Chain Risk Management,GOVERN,Cybersecurity supply chain risk management plans include provisions for activities that occur after the conclusion of a partnership or service agreement
CSF-032,ID.AM-01,Asset Management,IDENTIFY,Inventories of hardware managed by the organization are maintained
CSF-033,ID.AM-02,Asset Management,IDENTIFY,"Inventories of software, services, and systems managed by the organization are maintained"
CSF-034,ID.AM-03,Asset Management,IDENTIFY,Representations of the organization's authorized network communication and internal and external network data flows are maintained
CSF-035,ID.AM-04,Asset Management,IDENTIFY,Inventories of services provided by suppliers are maintained
CSF-036,ID.AM-05,Asset Management,IDENTIFY,"Assets are prioritized based on classification, criticality, resources, and impact on the mission"
CSF-037,ID.AM-07,Asset Management,IDENTIFY,Inventories of data and corresponding metadata for designated data types are maintained
CSF-038,ID.AM-08,Asset Management,IDENTIFY,"Systems, hardware, software, services, and data are managed throughout their life cycles"
CSF-039,ID.RA-01,Risk Assessment,IDENTIFY,"Vulnerabilities in assets are identified, validated, and recorded"
CSF-040,ID.RA-02,Risk Assessment,IDENTIFY,Cyber threat intelligence is received from information sharing forums and sources
CSF-041,ID.RA-03,Risk Assessment,IDENTIFY,Internal and external threats to the organization are identified and recorded
CSF-042,ID.RA-04,Risk Assessment,IDENTIFY,Potential impacts and likelihoods of threats exploiting vulnerabilities are identified and recorded
CSF-043,ID.RA-05,Risk Assessment,IDENTIFY,"Threats, vulnerabilities, likelihoods, and impacts are used to understand inherent risk and inform risk response prioritization"
CSF-044,ID.RA-06,Risk Assessment,IDENTIFY,"Risk responses are chosen, prioritized, planned, tracked, and communicated"
CSF-045,ID.RA-07,Risk Assessment,IDENTIFY,"Changes and exceptions are managed, assessed for risk impact, recorded, and tracked"
CSF-046,ID.RA-08,Risk Assessment,IDENTIFY,"Processes for receiving, analyzing, and responding to vulnerability disclosures are established"
CSF-047,ID.RA-09,Risk Assessment,IDENTIFY,The authenticity and integrity of hardware and software are assessed prior to acquisition and use
CSF-048,ID.RA-10,Risk Assessment,IDENTIFY,Critical suppliers are assessed prior to acquisition
CSF-049,ID.IM-01,Improvement,IDENTIFY,Improvements are identified from evaluations
CSF-050,ID.IM-02,Improvement,IDENTIFY,"Improvements are identified from security tests and exercises, including those done in coordination with suppliers and relevant third parties"
CSF-051,ID.IM-03,Improvement,IDENTIFY,"Improvements are identified from execution of operational processes, procedures, and activities"
CSF-052,ID.IM-04,Improvement,IDENTIFY,"Incident response plans and other cybersecurity plans that affect operations are established, communicated, maintained, and improved"
CSF-053,PR.AA-01,"Identity Management, Authentication, and Access Control",PROTECT,"Identities and credentials for authorized users, services, and hardware are managed by the organization"
CSF-054,PR.AA-02,"Identity Management, Authentication, and Access Control",PROTECT,Identities are proofed and bound to credentials based on the context of interactions
CSF-055,PR.AA-03,"Identity Management, Authentication, and Access Control",PROTECT,"Users, services, and hardware are authenticated"
CSF-056,PR.AA-04,"Identity Management, Authentication, and Access Control",PROTECT,"Identity assertions are protected, conveyed, and verified"
CSF-057,PR.AA-05,"Identity Management, Authentication, and Access Control",PROTECT,"Access permissions, entitlements, and authorizations are defined in a policy, managed, enforced, and reviewed, and incorporate the principles of least privilege and separation of duties"
CSF-058,PR.AA-06,"Identity Management, Authentication, and Access Control",PROTECT,"Physical access to assets is managed, monitored, and enforced commensurate with risk"
CSF-059,PR.AT-01,Awareness and Training,PROTECT,Personnel are provided with awareness and training so that they possess the knowledge and skills to perform general tasks with cybersecurity risks in mind
CSF-060,PR.AT-02,Awareness and Training,PROTECT,Individuals in specialized roles are provided with awareness and training so that they possess the knowledge and skills to perform relevant tasks with cybersecurity risks in mind
CSF-061,PR.DS-01,Data Security,PROTECT,"The confidentiality, integrity, and availability of data-at-rest are protected"
CSF-062,PR.DS-02,Data Security,PROTECT,"The confidentiality, integrity, and availability of data-in-transit are protected"
CSF-063,PR.DS-10,Data Security,PROTECT,"The confidentiality, integrity, and availability of data-in-use are protected"
CSF-064,PR.DS-11,Data Security,PROTECT,"Backups of data are created, protected, maintained, and tested"
CSF-065,PR.PS-01,Platform Security,PROTECT,Configuration management practices are established and applied
CSF-066,PR.PS-02,Platform Security,PROTECT,"Software is maintained, replaced, and removed commensurate with risk"
CSF-067,PR.PS-03,Platform Security,PROTECT,"Hardware is maintained, replaced, and removed commensurate with risk"
CSF-068,PR.PS-04,Platform Security,PROTECT,Log records are generated and made available for continuous monitoring
CSF-069,PR.PS-05,Platform Security,PROTECT,Installation and execution of unauthorized software are prevented
CSF-070,PR.PS-06,Platform Security,PROTECT,"Secure software development practices are integrated, and their performance is monitored throughout the software development life cycle"
CSF-071,PR.IR-01,Technology Infrastructure Resilience,PROTECT,Networks and environments are protected from unauthorized logical access and usage
CSF-072,PR.IR-02,Technology Infrastructure Resilience,PROTECT,The organization's technology assets are protected from environmental threats
CSF-073,PR.IR-03,Technology Infrastructure Resilience,PROTECT,Mechanisms are implemented to achieve resilience requirements in normal and adverse situations
CSF-074,PR.IR-04,Technology Infrastructure Resilience,PROTECT,Adequate resource capacity to ensure availability is maintained
CSF-075,DE.CM-01,Continuous Monitoring,DETECT,Networks and network services are monitored to find potentially adverse events
CSF-076,DE.CM-02,Continuous Monitoring,DETECT,The physical environment is monitored to find potentially adverse events
CSF-077,DE.CM-03,Continuous Monitoring,DETECT,Personnel activity and technology usage are monitored to find potentially adverse events
CSF-078,DE.CM-06,Continuous Monitoring,DETECT,External service provider activities and services are monitored to find potentially adverse events
CSF-079,DE.CM-09,Continuous Monitoring,DETECT,"Computing hardware and software, runtime environments, and their data are monitored to find potentially adverse events"
CSF-080,DE.AE-02,Adverse Event Analysis,DETECT,Potentially adverse events are analyzed to better understand associated activities
